id,name,title,body,type,channel,createdAt
1,welcome_email,"Welcome to the Platform!","Hello {{userName}}, welcome to our platform. Your account has been created.","WELCOME","email","2025-01-10T08:00:00Z"
2,welcome_inapp,"Welcome!","Welcome {{userName}}! Start exploring now.","WELCOME","in_app","2025-01-10T08:05:00Z"
3,assessment_due_email,"Assessment Due Soon","Hi {{userName}}, your assessment '{{assessmentTitle}}' is due on {{dueDate}}.","ASSESSMENT_DUE","email","2025-01-12T09:00:00Z"
4,assessment_due_inapp,"Assessment Due!","{{assessmentTitle}} is due on {{dueDate}}.","ASSESSMENT_DUE","in_app","2025-01-12T09:05:00Z"
5,grade_released_email,"Grade Released","Hello {{userName}}, your grade for '{{assessmentTitle}}' is {{score}}%.","GRADE_RELEASED","email","2025-01-15T10:00:00Z"
6,grade_released_inapp,"Grade: {{score}}%","You scored {{score}}% on '{{assessmentTitle}}'.","GRADE_RELEASED","in_app","2025-01-15T10:05:00Z"
7,new_course_email,"New Course Available","Hi {{userName}}, a new course '{{courseTitle}}' is now available.","NEW_COURSE","email","2025-01-18T11:00:00Z"
8,new_course_inapp,"New Course!","{{courseTitle}} is now live.","NEW_COURSE","in_app","2025-01-18T11:05:00Z"
9,instructor_message_email,"Message from Instructor","{{instructorName}} sent you a message: '{{message}}'","INSTRUCTOR_MESSAGE","email","2025-01-20T12:00:00Z"
10,instructor_message_inapp,"New Message","{{instructorName}}: {{message}}","INSTRUCTOR_MESSAGE","in_app","2025-01-20T12:05:00Z"
11,submission_feedback_email,"Feedback on Submission","Hi {{userName}}, feedback is available for your submission.","SUBMISSION_FEEDBACK","email","2025-01-22T13:00:00Z"
12,submission_feedback_inapp,"Feedback Ready","Check feedback on your submission.","SUBMISSION_FEEDBACK","in_app","2025-01-22T13:05:00Z"
13,weekly_summary_email,"Weekly Summary","Hi {{userName}}, you completed {{completed}}/{{total}} tasks this week.","WEEKLY_SUMMARY","email","2025-01-25T07:00:00Z"
14,weekly_summary_inapp,"Weekly Update","{{completed}}/{{total}} tasks done.","WEEKLY_SUMMARY","in_app","2025-01-25T07:05:00Z"
15,account_verified_email,"Account Verified","Your account has been successfully verified.","ACCOUNT_VERIFIED","email","2025-01-28T14:00:00Z"
16,account_verified_inapp,"Verified","Your account is now verified.","ACCOUNT_VERIFIED","in_app","2025-01-28T14:05:00Z"
17,password_reset_email,"Password Reset Requested","Click to reset your password: {{resetLink}}","PASSWORD_RESET","email","2025-01-30T15:00:00Z"
18,password_reset_inapp,"Reset Password","Tap to reset your password.","PASSWORD_RESET","in_app","2025-01-30T15:05:00Z"
19,certificate_earned_email,"Certificate Earned!","Congratulations {{userName}}! You earned a certificate for '{{courseTitle}}'.","CERTIFICATE_EARNED","email","2025-02-01T16:00:00Z"
20,certificate_earned_inapp,"Certificate!","You earned a certificate for '{{courseTitle}}'.","CERTIFICATE_EARNED","in_app","2025-02-01T16:05:00Z"